neuron,neuron_id,nickname,trust,milliampere,links_count,karma,first_link
bostrom1jw57e2wdv4sy3pnhnuukmty9hlwpsyupnyx5pn,119,moonballer,0,60425,3,2835875914,2021-12-12T08:35:59
bostrom1h6f6hlyzchw6wghxlmyhezu5yswsh9fa499mwg,120,juncuirina,0.9160889493890906,161819,57,122765094102,2021-12-12T16:51:41
bostrom1n5flpdy8zkdahru6rqtj26cf63h2cgszqmxy86,121,moonian,0,1964287,2,30035172179,2021-12-12T17:57:07
bostrom17mkmt2qcsj8aygk6tykwqpa8uvl3znxsy5r7uv,122,aleks,0.8208788794776439,87604,27,7146386398,2021-12-12T22:06:18
bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,123,papsan,0.9089469945287317,7050604,29,146412201563,2021-12-12T22:08:42
bostrom1lvkzyfaqjn87cfl65a55nuqt8u6uhnyuvhp8kr,124,👤,1,3811760,2,1350827187,2021-12-13T05:45:37
bostrom1a33utnq4435anmxfhdqe5dye4e3adzs3duazep,125,crypto,0.5953649623450342,73578,1,3694656428,2021-12-13T10:55:03
bostrom19ys53t55r725j882gjcrnf7s449gdrds3h2hu4,126,developer,0.8540619916530258,4558124,15,86532832263,2021-12-13T11:06:04
bostrom1hds70dwtgawhrhdj2utvf8r7axjmre70pfdh37,127,stels902,0.594162831891407,4812,17,1215683499,2021-12-13T17:38:28
bostrom1pvz6pwchap2qkknf6a66aqzjmr4jd4tfee7aah,128,tochtoch,0,1,22,0,2021-12-14T01:53:39
bostrom1ewmayyze0svkhhsq7gs5yc9gv8uezn3tusd97t,129,pyramid,0.953701268133063,401836,60,18408686426,2021-12-15T07:03:01
bostrom1kwwp7f5pszyxr39whf2rwm7gly596mdw5gmmf4,130,castigaojetes,0.8672345640149328,84166,55,242855980101,2021-12-15T22:14:17
bostrom1k7cl9ya9qq30c7m4rvg3823hrc8k80eetqvhj8,131,pervykaganat,0,177651,46,136694863952,2021-12-16T00:12:51
bostrom1xt352n044y3tmxyugun6fv9uahxa23se6w6tgm,132,👤,0,3018,6,3848579683,2021-12-16T08:00:25
bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,133,fftod,0.7026228637557637,2384725,13,83934907922,2021-12-16T21:15:40
bostrom13asy9mt0fmkl80g9csg9mzkvfxj99d42mdugdz,134,austin-banks,0.6590808422819883,100441,7,4896798924,2021-12-18T19:05:36
bostrom1p564laxxk8x737qsj8z6m70ma369xy7eq7hcw8,135,lvx90ita,0,226705,2,7425097460,2021-12-19T11:11:20
bostrom14zgdky095s22hkagq6ljhy79xhsml40hcht9z9,136,toni13490,0,29549,20,12186262962,2021-12-19T11:37:53
bostrom1n6uyhxfuzr8tax5hwaqlc0gyuuvgx9gjuk8uy6,137,piroca00,0,4027,3,188467155,2021-12-21T13:26:57
bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,138,spacevalidator,0.8998791881924241,5735006,12,150698728291,2021-12-22T14:05:54
bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,139,forthefuture,0.9235293426787722,1425500,14,47558810704,2021-12-22T14:18:11
bostrom14u4pwq4vp5evwqlrz5au8khw9d7hhsuc3cn6pc,140,bostronaut,0.03295824538401653,8348,5,401997700,2021-12-23T22:16:33
